Predictions1,Predictions2,Predictions3,Predictions4,Weights1,Weights2,Weights3,Weights4,Updates1,Updates2,Updates3,Updates4,Targets
0.80727863,0.91805935,1.4747086,0.42488766,4.7486978,5.400349,8.674756,2.499339,0.35429204,0.4107902,0.69468135,0.15927264,0.11258833
0.8399334,0.9476614,1.4361029,0.4605937,4.6662965,5.2647853,7.9783487,2.5588539,0.3916696,0.44984272,0.7136011,0.18682612,0.114619404
0.87457085,0.93316555,1.6028838,0.5104904,4.6030045,4.9113975,8.436231,2.6867917,0.44447652,0.4778755,0.8596149,0.23695065,0.09478751
0.9085984,0.9893184,1.736095,0.52132416,4.542992,4.946592,8.680474,2.6066208,0.49097878,0.53941077,0.98747665,0.2586142,0.09030051
0.9710078,1.0474558,1.8241401,0.56694937,4.623847,4.987885,8.686381,2.699759,0.5125518,0.560714,1.0500251,0.25799498,0.15743351
1.0074768,1.1756315,1.9019608,0.5802245,4.57944,5.3437796,8.645277,2.6373842,0.577775,0.6887571,1.1681345,0.2957885,0.13206008
1.0389109,1.211185,1.9788666,0.6093693,4.5170035,5.2660217,8.603767,2.6494317,0.6446397,0.7635088,1.2932091,0.34825596,0.104650475
1.0132751,1.2467384,2.0327306,0.6314945,4.22198,5.1947436,8.469711,2.6312273,0.58928674,0.75738037,1.3232946,0.3144047,0.19482128
1.045167,1.2539101,2.1155872,0.63881874,4.180668,5.0156403,8.462349,2.555275,0.6884125,0.84496987,1.4912277,0.38365132,0.12728363
0.9876399,1.3514156,2.0974293,0.63973427,3.7986152,5.1977525,8.067036,2.4605165,0.63631016,0.9200552,1.5019459,0.3649438,0.17185757
1.0892653,1.3355455,2.0974293,0.65972376,4.034316,4.9464645,7.768256,2.4434211,0.70734394,0.9068309,1.5239568,0.35941523,0.21600127
1.0917068,1.3225756,2.0391393,0.63241005,3.8989527,4.723484,7.2826405,2.2586074,0.79346174,0.98739153,1.589305,0.40765247,0.14710951
1.172122,1.3347826,2.0765238,0.63012123,4.0418,4.602699,7.160427,2.172832,0.83229566,0.97381043,1.6191252,0.36075503,0.2154603
1.1736479,1.3393602,2.0733194,0.6104374,3.9121594,4.464534,6.9110646,2.0347912,0.9041697,1.0533109,1.7138741,0.3972802,0.16901499
1.1878386,1.3686581,2.4258032,0.59487295,3.8317373,4.415026,7.8251715,1.918945,0.94358927,1.1117514,2.0948963,0.39213124,0.17322649
1.398108,1.8056765,2.5819025,0.5580988,4.3690877,5.6427393,8.068445,1.7440587,1.1906492,1.5819148,2.327092,0.3842403,0.15784846
1.4003968,1.8291755,2.635767,0.5120163,4.2436266,5.542956,7.987172,1.5515645,1.2078431,1.632334,2.4308598,0.32834637,0.18035328
